Date;Country;Sales_2008;Market;SegmentMix
2025-01-01;FR;0;133156;18.5091
2025-02-01;FR;0;144015;18.5091
2025-03-01;FR;0;185127;18.5091
2025-04-01;FR;0;164691;18.5091
2025-05-01;FR;0;165141;18.5091
2025-06-01;FR;0;186409;18.5091
2025-07-01;FR;0;147070;18.5091
2025-08-01;FR;0;87573;18.5091
2025-09-01;FR;0;145760;18.5091
2025-10-01;FR;0;153998;18.5091
2025-11-01;FR;0;137491;18.5091
2025-12-01;FR;0;167971;18.5091
2026-01-01;FR;0;134759;18.1643
2026-02-01;FR;0;145749;18.1643
2026-03-01;FR;0;187357;18.1643
2026-04-01;FR;0;166675;18.1643
2026-05-01;FR;0;167130;18.1643
2026-06-01;FR;0;188654;18.1643
2026-07-01;FR;0;148841;18.1643
2026-08-01;FR;0;88627;18.1643
2026-09-01;FR;0;147515;18.1643
2026-10-01;FR;0;155853;18.1643
2026-11-01;FR;0;139146;18.1643
2026-12-01;FR;0;169994;18.1643
2027-01-01;FR;0;135045;18.493
2027-02-01;FR;0;146058;18.493
2027-03-01;FR;0;187754;18.493
2027-04-01;FR;0;167028;18.493
2027-05-01;FR;0;167484;18.493
2027-06-01;FR;0;189054;18.493
2027-07-01;FR;0;149156;18.493
2027-08-01;FR;0;88815;18.493
2027-09-01;FR;0;147828;18.493
2027-10-01;FR;0;156183;18.493
2027-11-01;FR;0;139441;18.493
2027-12-01;FR;0;170354;18.493
2013-01-01;GB;243;144995;3.0108
2013-02-01;GB;115;68437;3.0108
2013-03-01;GB;784;468080;3.0108
2013-04-01;GB;242;144393;3.0108
2013-05-01;GB;301;179928;3.0108
2013-06-01;GB;372;222072;3.0108
2013-07-01;GB;248;147945;3.0108
2013-08-01;GB;113;67461;3.0108
2013-09-01;GB;641;382810;3.0108
2013-10-01;GB;246;147030;3.0108
2013-11-01;GB;255;152236;3.0108
2013-12-01;GB;233;139351;3.0108
2014-01-01;GB;1115;158549;5.0776
2014-02-01;GB;526;74834;5.0776
2014-03-01;GB;3600;511834;5.0776
2014-04-01;GB;1111;157890;5.0776
2014-05-01;GB;1384;196747;5.0776
2014-06-01;GB;1708;242830;5.0776
2014-07-01;GB;1138;161774;5.0776
2014-08-01;GB;519;73767;5.0776
2014-09-01;GB;2944;418594;5.0776
2014-10-01;GB;1131;160774;5.0776
2014-11-01;GB;1171;166466;5.0776
2014-12-01;GB;1072;152377;5.0776
2015-01-01;GB;1207;168605;7.0201
2015-02-01;GB;570;79580;7.0201
2015-03-01;GB;3896;544297;7.0201
2015-04-01;GB;1202;167904;7.0201
2015-05-01;GB;1498;209226;7.0201
2015-06-01;GB;1848;258232;7.0201
2015-07-01;GB;1231;172034;7.0201
2015-08-01;GB;561;78445;7.0201
2015-09-01;GB;3186;445143;7.0201
2015-10-01;GB;1224;170971;7.0201
2015-11-01;GB;1267;177024;7.0201
2015-12-01;GB;1160;162041;7.0201
2016-01-01;GB;1267;172400;7.6909
2016-02-01;GB;598;81372;7.6909
2016-03-01;GB;4091;556549;7.6909
2016-04-01;GB;1262;171684;7.6909
2016-05-01;GB;1573;213936;7.6909
2016-06-01;GB;1941;264045;7.6909
2016-07-01;GB;1293;175907;7.6909
2016-08-01;GB;590;80211;7.6909
2016-09-01;GB;3346;455164;7.6909
2016-10-01;GB;1285;174820;7.6909
2016-11-01;GB;1331;181009;7.6909
2016-12-01;GB;1218;165689;7.6909
2017-01-01;GB;1136;162658;7.6594
2017-02-01;GB;536;76773;7.6594
2017-03-01;GB;3666;525099;7.6594
2017-04-01;GB;1131;161982;7.6594
2017-05-01;GB;1409;201847;7.6594
2017-06-01;GB;1739;249123;7.6594
2017-07-01;GB;1159;165967;7.6594
2017-08-01;GB;528;75678;7.6594
2017-09-01;GB;2998;429443;7.6594
2017-10-01;GB;1151;164941;7.6594
2017-11-01;GB;1192;170780;7.6594
2017-12-01;GB;1091;156326;7.6594
2018-01-01;GB;1136;161502;10.4184
2018-02-01;GB;525;74572;10.4184
2018-03-01;GB;3253;462409;10.4184
2018-04-01;GB;1149;163343;10.4184
2018-05-01;GB;1332;189360;10.4184
2018-06-01;GB;1621;230347;10.4184
2018-07-01;GB;1125;159973;10.4184
2018-08-01;GB;510;72538;10.4184
2018-09-01;GB;2704;384317;10.4184
2018-10-01;GB;1135;161300;10.4184
2018-11-01;GB;1125;159873;10.4184
2018-12-01;GB;1038;147615;10.4184
2019-01-01;GB;1077;157740;11.0337
2019-02-01;GB;497;72838;11.0337
2019-03-01;GB;3085;451995;11.0337
